District,Crop,Irrigation Method,Water Consumption (liters/hectare),Water Availability (liters/hectare)
Gulbarga,Oilseeds,Sprinkler Irrigation,12623.944736670115,12590.951568124978
Hubli,Barley,Sprinkler Irrigation,13625.997549273045,13089.497364481676
Mangalore,Guava,Sprinkler Irrigation,5463.334821739253,4876.882971174255
Bijapur,Pomegranate,Tube Well,10986.5068597392,11749.610822375753
Raichur,Fennel,Canal Irrigation,6547.55675032349,7484.439551995902
Shimoga,Cotton,Sprinkler Irrigation,8243.694955155122,8000.731989268779
Udupi,Fennel,Drip Irrigation,10108.79849120498,9861.456053292071
Dharwad,Chilli,Tube Well,9040.477636459944,9775.91648020244
Bellary,Onion,Drip Irrigation,10039.872681502624,9317.809295656883
Chitradurga,Maize,Drip Irrigation,12174.971023916056,11736.590040615803
Bangalore Urban,Oilseeds,Sprinkler Irrigation,9562.57236227422,9997.17777918241
Bangalore Rural,Fenugreek,Sprinkler Irrigation,10023.930484985807,9684.38001547191
Mysore,Onion,Tube Well,10952.760107700857,11134.34190531922
Tumkur,Wheat,Sprinkler Irrigation,5660.778337315934,5807.75136002047
Belgaum,Pulses,Drip Irrigation,15473.720640240846,14767.450840411006
Gulbarga,Cotton,Sprinkler Irrigation,10569.079039696418,10379.991672629045
Hubli,Fennel,Drip Irrigation,14838.990137550123,15294.938768445518
Mangalore,Mustard,Sprinkler Irrigation,8966.382229719027,9951.933877134985
Bijapur,Oilseeds,Sprinkler Irrigation,11379.8506978694,11581.5281266918
Raichur,Oilseeds,Canal Irrigation,8123.689169801193,8494.87149740953
Shimoga,Coriander,Drip Irrigation,8372.023489117902,8142.947254601598
Udupi,Wheat,Sprinkler Irrigation,9738.809833035884,10557.48827921491
Dharwad,Pulses,Drip Irrigation,6936.134038941243,7739.350475666325
Bellary,Barley,Drip Irrigation,7608.3618690241055,7927.147091350755
Chitradurga,Garlic,Drip Irrigation,12398.89445386274,12948.635299998346
Bangalore Urban,Chilli,Tube Well,10866.56894221022,9953.445508883182
Bangalore Rural,Citrus,Sprinkler Irrigation,13144.776431944943,13109.02332769862
Mysore,Guava,Drip Irrigation,10456.905822899736,9965.94187925648
Tumkur,Mustard,Canal Irrigation,11010.511135154286,11097.97317904534
Belgaum,Bajra,Drip Irrigation,13129.226692336822,13708.071656947071
Gulbarga,Chilli,Drip Irrigation,10096.85948031672,9846.919243726605
Hubli,Opium,Canal Irrigation,9522.028580500164,8735.195013399081
Mangalore,Fennel,Canal Irrigation,8385.900627192734,8458.110408952138
Bijapur,Guava,Canal Irrigation,13430.304223144423,13225.212519535376
Raichur,Citrus,Tube Well,8172.130833919184,8290.318493226177
Shimoga,Cotton,Canal Irrigation,10624.11967032099,11172.508638810974
Udupi,Pulses,Drip Irrigation,12439.312570998183,12332.502325828622
Dharwad,Gram,Sprinkler Irrigation,9523.558287517297,10095.72053330405
Bellary,Coriander,Drip Irrigation,5538.563916976957,6467.704419725993
Chitradurga,Mustard,Sprinkler Irrigation,10049.309655292223,10249.800538812136
Bangalore Urban,Mustard,Canal Irrigation,9925.04313554487,9085.122608936475
Bangalore Rural,Pomegranate,Tube Well,12430.000920777598,12472.012007218716
Mysore,Barley,Sprinkler Irrigation,11739.96657445796,11617.91067154043
Tumkur,Fenugreek,Canal Irrigation,7548.906592675259,8116.825483382676
Belgaum,Chilli,Sprinkler Irrigation,11562.628120069248,11910.676882093609
Gulbarga,Maize,Drip Irrigation,15589.499647461174,14763.18527260925
Hubli,Pomegranate,Canal Irrigation,10606.799754701831,10417.701688402874
Mangalore,Chilli,Drip Irrigation,14039.97778318551,13177.212127059627
Bijapur,Garlic,Canal Irrigation,13431.996635439302,13550.224369334615
Raichur,Guava,Canal Irrigation,15723.137926734662,15276.153624128909
Shimoga,Bajra,Tube Well,14997.40127750347,15147.2147209951
Udupi,Oilseeds,Tube Well,10576.85049041764,10694.111916156957
Dharwad,Sugarcane,Canal Irrigation,15500.344924920277,16106.229410064989
Bellary,Garlic,Canal Irrigation,12972.564533118784,13904.675444384997
Chitradurga,Onion,Sprinkler Irrigation,12363.476396534355,13285.953847137584
Bangalore Urban,Fenugreek,Tube Well,13261.730452220554,13985.77701076982
Bangalore Rural,Gram,Canal Irrigation,6675.29486715658,6942.618462272957
Mysore,Fenugreek,Sprinkler Irrigation,15246.384146707,15071.2360910857
Tumkur,Chilli,Drip Irrigation,10782.352421224175,10309.051804009998
Belgaum,Mustard,Tube Well,10292.964248658973,10935.113627644034
Gulbarga,Garlic,Sprinkler Irrigation,10458.52150130596,10165.597353738303
Hubli,Cotton,Sprinkler Irrigation,14597.972600245725,14964.187217293262
Mangalore,Onion,Sprinkler Irrigation,8254.397480989708,7738.510516679636
Bijapur,Bajra,Sprinkler Irrigation,8015.789943240331,7515.180811134246
Raichur,Guava,Sprinkler Irrigation,12720.050229301334,11959.807214610875
Shimoga,Fenugreek,Tube Well,13241.427371924963,13769.915797196018
Udupi,Barley,Tube Well,7845.401422103929,7476.235234047764
Dharwad,Cotton,Tube Well,7012.390638232034,7540.915289103889
Bellary,Cotton,Tube Well,7916.243268285924,8069.573640980744
Chitradurga,Chilli,Tube Well,8611.594224580509,8693.130115764163
Bangalore Urban,Guava,Tube Well,13501.913894552534,14053.721822262356
Bangalore Rural,Gram,Tube Well,10309.74413278893,9326.58134242818
Mysore,Pomegranate,Drip Irrigation,8947.575189658968,9173.131382382511
Tumkur,Oilseeds,Canal Irrigation,8321.910311537484,8264.601041014395
Belgaum,Mango,Canal Irrigation,6690.538829813716,6538.424590635602
Gulbarga,Opium,Canal Irrigation,8713.367047755462,8514.55224259991
Hubli,Oilseeds,Sprinkler Irrigation,14257.656706814869,14629.680531097853
Mangalore,Cotton,Sprinkler Irrigation,10648.635443523575,11361.252921013338
Bijapur,Pulses,Sprinkler Irrigation,11571.450294350529,10590.93487654532
Raichur,Onion,Sprinkler Irrigation,15794.36487885768,16493.144709651002
Shimoga,Garlic,Canal Irrigation,11615.543568882862,11215.61193318976
Udupi,Cumin,Drip Irrigation,9821.907159120288,10202.993511041575
Dharwad,Bajra,Canal Irrigation,10801.46794297284,11061.19236769715
Bellary,Mango,Canal Irrigation,10303.143063732674,10423.843133361202
Chitradurga,Guava,Drip Irrigation,11239.896931979318,10942.077911639002
Bangalore Urban,Bajra,Sprinkler Irrigation,13310.561301146405,12879.778764805287
Bangalore Rural,Fenugreek,Tube Well,11920.798236995695,11814.658471161372
Mysore,Pomegranate,Canal Irrigation,8894.338097395119,9807.526959373892
Tumkur,Fennel,Canal Irrigation,9567.094383577229,9791.714659844123
Belgaum,Mustard,Drip Irrigation,7805.805261684476,7262.241140460223
Gulbarga,Fennel,Canal Irrigation,13617.594027439578,13828.363973487902
Hubli,Cotton,Tube Well,12929.811518334089,13807.351188252578
Mangalore,Chilli,Tube Well,9414.820995712616,8782.593393919382
Bijapur,Pulses,Sprinkler Irrigation,12139.678217037952,13020.552891713944
Raichur,Bajra,Sprinkler Irrigation,8773.89368826008,7965.001126225239
Shimoga,Garlic,Drip Irrigation,7540.588909948632,7334.613951468971
Udupi,Gram,Canal Irrigation,9703.994033910089,8872.616567214072
Dharwad,Sugarcane,Sprinkler Irrigation,8378.546779749731,7946.897339865909
Bellary,Pulses,Sprinkler Irrigation,7523.340710338875,7850.438980946485
Chitradurga,Onion,Tube Well,14784.880566358925,14866.048889143489
Bangalore Urban,Garlic,Tube Well,7078.901354866095,7975.873619180134
Bangalore Rural,Oilseeds,Tube Well,11261.951906393766,11533.654179245435
Mysore,Citrus,Canal Irrigation,13924.50739786756,13887.81076327199
Tumkur,Mustard,Tube Well,9974.913485101766,9799.321096290165
Belgaum,Sugarcane,Drip Irrigation,4673.530139030418,5304.289717352194
Gulbarga,Guava,Canal Irrigation,11790.377379409494,10807.01160060224
Hubli,Onion,Canal Irrigation,5216.115117278447,5076.985743816914
Mangalore,Coriander,Sprinkler Irrigation,12819.701166378392,12916.125557851386
Bijapur,Citrus,Tube Well,9142.72144958202,8469.260440242599
Raichur,Pomegranate,Sprinkler Irrigation,8859.254551777858,8703.733317285243
Shimoga,Chilli,Canal Irrigation,7193.762968446644,7679.616752708947
Udupi,Citrus,Sprinkler Irrigation,14313.652266157122,13678.466624162407
Dharwad,Gram,Tube Well,13899.578536529938,13443.846797433189
Bellary,Onion,Sprinkler Irrigation,7674.505236316711,6978.803846551449
Chitradurga,Wheat,Sprinkler Irrigation,15030.828888411264,14595.057963562873
Bangalore Urban,Opium,Tube Well,11713.575597562296,11179.196593474207
Bangalore Rural,Wheat,Tube Well,8293.472954496736,8133.9590087916895
Mysore,Guava,Tube Well,12295.9121685754,11359.386411415342
Tumkur,Pulses,Drip Irrigation,7859.77735777015,7644.620907966212
Belgaum,Onion,Sprinkler Irrigation,8106.842771036894,8789.921346917414
Gulbarga,Wheat,Drip Irrigation,17436.658861569078,17866.023904150672
Hubli,Tomato,Sprinkler Irrigation,12397.295998233249,11464.316581373798
Mangalore,Gram,Sprinkler Irrigation,10993.572617344911,11356.45725746062
Bijapur,Mango,Sprinkler Irrigation,10154.201508119824,9238.573339309289
Raichur,Chilli,Drip Irrigation,7487.903069313856,7764.943093397904
Shimoga,Guava,Drip Irrigation,14423.56033139029,13859.136829500496
Udupi,Maize,Tube Well,10244.54510741359,9579.265820230165
Dharwad,Cumin,Drip Irrigation,9902.32195555745,9388.50062204374
Bellary,Cumin,Tube Well,11813.863956351528,11123.847841213574
Chitradurga,Maize,Sprinkler Irrigation,10498.528886484331,10870.418173995517
Bangalore Urban,Fennel,Drip Irrigation,5720.46258592584,6009.612379221677
Bangalore Rural,Gram,Sprinkler Irrigation,11018.71278219827,10652.191900272384
Mysore,Fennel,Canal Irrigation,14418.795731745891,14296.233527939086
Tumkur,Wheat,Tube Well,8806.521618816289,8075.985966338193
Belgaum,Onion,Tube Well,10512.709135143094,10598.17728875448
Gulbarga,Bajra,Sprinkler Irrigation,11182.195017454564,10829.556768838142
Hubli,Cotton,Sprinkler Irrigation,6330.7856216517,5640.836577802354
Mangalore,Cotton,Canal Irrigation,10020.004762222214,10571.84057690723
Bijapur,Pomegranate,Sprinkler Irrigation,16874.74553314306,17114.21474628351
Raichur,Coriander,Sprinkler Irrigation,8666.7337132878,7793.4172264864355
Shimoga,Pomegranate,Sprinkler Irrigation,10332.6081115186,10327.706430657694
Udupi,Pulses,Canal Irrigation,8326.867964725256,8608.675824295402
Dharwad,Gram,Drip Irrigation,6869.831372919312,7745.430446236576
Bellary,Barley,Sprinkler Irrigation,6837.301126519677,6220.534406981013
Chitradurga,Cumin,Tube Well,11147.15480774997,11198.797532978791
Bangalore Urban,Cotton,Drip Irrigation,10525.627139803491,10737.534388268392
Bangalore Rural,Wheat,Sprinkler Irrigation,13591.319447713124,14448.126886589862
Mysore,Tomato,Drip Irrigation,8693.042664756425,9179.997546577162
Tumkur,Guava,Drip Irrigation,10909.236473687695,10440.867742681026
Belgaum,Mustard,Canal Irrigation,7376.595449031643,6808.395575473758
Gulbarga,Gram,Drip Irrigation,11668.94259922202,11732.264702026963
Hubli,Bajra,Sprinkler Irrigation,12010.235000744762,12905.241689859598
Mangalore,Garlic,Tube Well,10209.993231380526,10742.56007141263
Bijapur,Guava,Tube Well,13422.897316960503,13277.047297547628
Raichur,Oilseeds,Sprinkler Irrigation,9623.49357990071,9632.879140912632
Shimoga,Garlic,Tube Well,15454.102805513314,16259.072746818758
Udupi,Mango,Canal Irrigation,9724.950329141511,9991.431973512485
Dharwad,Coriander,Sprinkler Irrigation,10012.453335854096,9440.309607941535
Bellary,Cotton,Canal Irrigation,14058.35971916072,13953.359297157218
Chitradurga,Wheat,Drip Irrigation,15865.558366480327,16057.0840197279
Bangalore Urban,Pulses,Canal Irrigation,6123.28217491978,7092.071025553381
Bangalore Rural,Mango,Drip Irrigation,13700.15472438814,14586.85053687752
Mysore,Garlic,Sprinkler Irrigation,8202.166113463592,8122.905724786111
Tumkur,Pulses,Canal Irrigation,7848.415367611162,8012.726780330902
Belgaum,Cotton,Canal Irrigation,7931.240742611578,7730.837239567106
Gulbarga,Mustard,Canal Irrigation,13273.221145849826,12619.02612756247
Hubli,Gram,Canal Irrigation,5766.843841556208,6383.526185877871
Mangalore,Mustard,Drip Irrigation,12394.914901537331,12063.694190483871
Bijapur,Citrus,Drip Irrigation,13566.56146372588,13019.996806450185
Raichur,Wheat,Tube Well,7085.039933091349,7133.806636118571
Shimoga,Garlic,Sprinkler Irrigation,8827.436798711788,9222.974103899924
Udupi,Barley,Tube Well,16966.708188788925,17472.388594809985
Dharwad,Chilli,Drip Irrigation,6838.008501116947,6417.574559430321
Bellary,Pulses,Sprinkler Irrigation,9014.602706045544,8966.31201484029
Chitradurga,Garlic,Tube Well,7315.642422803417,7112.69649753523
Bangalore Urban,Opium,Sprinkler Irrigation,13325.864924977834,13287.709928929862
Bangalore Rural,Onion,Tube Well,12922.992209038044,12315.190809824486
Mysore,Chilli,Sprinkler Irrigation,7836.617509962219,7369.131691349225
Tumkur,Mango,Drip Irrigation,5186.493863293048,5013.657968224709
Belgaum,Guava,Sprinkler Irrigation,9063.443426358392,9251.197724440535
Gulbarga,Sugarcane,Sprinkler Irrigation,15539.121484762074,15771.563473671082
Hubli,Coriander,Sprinkler Irrigation,10367.017016437918,11215.443430244772
Mangalore,Bajra,Canal Irrigation,8318.884321148758,8775.857826955147
Bijapur,Gram,Drip Irrigation,7310.516573320171,7552.521458497928
Raichur,Sugarcane,Drip Irrigation,9707.720859514511,10316.28240678311
Shimoga,Tomato,Tube Well,6944.652112238872,6362.671194487277
Udupi,Bajra,Sprinkler Irrigation,8975.988385016752,9476.698682521685
Dharwad,Onion,Sprinkler Irrigation,12647.394072570156,12983.915236426968
Bellary,Cumin,Drip Irrigation,7880.682859486857,7000.902958638193
Chitradurga,Opium,Canal Irrigation,6424.95874781007,6734.474491440844
Bangalore Urban,Mustard,Tube Well,12358.597811221049,12684.56108266136
Bangalore Rural,Gram,Drip Irrigation,8211.862079159344,8978.666709459912
Mysore,Maize,Tube Well,9862.175811883151,10281.553408553596
Tumkur,Onion,Drip Irrigation,7703.977881248385,7705.279526986143
Belgaum,Garlic,Drip Irrigation,5666.525490876168,6511.065722244342
Gulbarga,Mango,Tube Well,8504.656216008223,7818.666717189888
Hubli,Fenugreek,Canal Irrigation,9823.318137159888,9427.97056036593
Mangalore,Cotton,Drip Irrigation,10295.83897113062,11053.19351951294
Bijapur,Garlic,Canal Irrigation,8565.309493471692,8248.881799168526
Raichur,Fenugreek,Sprinkler Irrigation,7104.261819383395,6868.676063092212
Shimoga,Fennel,Sprinkler Irrigation,8072.30297878866,8218.100084708218
Udupi,Sugarcane,Canal Irrigation,9362.07682993728,8625.62109447374
Dharwad,Cumin,Sprinkler Irrigation,15406.7762299299,15024.773022254269
Bellary,Pulses,Tube Well,13493.23355507468,14444.78737321188
Chitradurga,Fennel,Sprinkler Irrigation,8446.121405967951,8560.80200215509
Bangalore Urban,Oilseeds,Canal Irrigation,14182.05859351723,13473.104255191363
Bangalore Rural,Mango,Tube Well,15798.492764136838,15405.18897408914
Mysore,Pulses,Sprinkler Irrigation,6785.848113412989,6155.341106562124
Tumkur,Coriander,Canal Irrigation,10766.26510198684,10990.989144863071
Belgaum,Maize,Sprinkler Irrigation,13919.757912352534,13638.280581421635
Gulbarga,Pulses,Tube Well,14565.828790098942,14313.747592359943
Hubli,Onion,Tube Well,7946.074223357719,7332.59388231474
Mangalore,Citrus,Drip Irrigation,14451.167395875023,15351.563480854858
Bijapur,Fenugreek,Sprinkler Irrigation,11783.79351662264,10916.06616509242
Raichur,Coriander,Tube Well,11178.389131663578,11911.938941976936
Shimoga,Citrus,Tube Well,13664.465760846537,13880.325676689125
Udupi,Mango,Tube Well,11984.850101027714,12469.785810443604
Dharwad,Garlic,Drip Irrigation,12183.567907091836,12086.78709221916
Bellary,Maize,Tube Well,15820.68530880267,14899.188553287644
Chitradurga,Chilli,Drip Irrigation,6549.980603033487,6429.088352466406
Bangalore Urban,Sugarcane,Tube Well,8287.169651559421,7876.009102233691
Bangalore Rural,Opium,Sprinkler Irrigation,9156.962290614878,9449.165306474277
Mysore,Chilli,Drip Irrigation,7325.435418825231,7496.330860265611
Tumkur,Pulses,Tube Well,9965.279230719025,9867.050940413174
Belgaum,Tomato,Sprinkler Irrigation,16725.482440218235,15905.841762797176
Gulbarga,Opium,Sprinkler Irrigation,16342.001794986403,15589.090228657273
Hubli,Opium,Tube Well,12416.921321169872,11587.534409238497
Mangalore,Chilli,Sprinkler Irrigation,9235.75433111018,8996.968349632474
Bijapur,Mango,Sprinkler Irrigation,7857.810877155319,7147.025624984559
Raichur,Citrus,Canal Irrigation,9565.529047362708,10102.789892084593
Shimoga,Sugarcane,Sprinkler Irrigation,6831.659050671791,6094.801114295962
Udupi,Wheat,Canal Irrigation,7206.720663202068,7201.975878003664
Dharwad,Garlic,Drip Irrigation,11735.78922686951,11722.722819395802
Bellary,Cumin,Tube Well,10585.552883352288,10469.30360634776
Chitradurga,Coriander,Drip Irrigation,8748.63748627271,8843.320705439002
Bangalore Urban,Fennel,Sprinkler Irrigation,6711.782325812918,6008.294662172299
Bangalore Rural,Barley,Sprinkler Irrigation,14832.508657982533,15166.50174387492
Mysore,Sugarcane,Canal Irrigation,13401.81102342736,12499.87374892496
Tumkur,Oilseeds,Sprinkler Irrigation,11376.127032901615,11598.306544998924
Belgaum,Cumin,Sprinkler Irrigation,13079.78237278331,13578.451990838032
Gulbarga,Barley,Drip Irrigation,13484.29435143773,13129.938053118767
Hubli,Mustard,Tube Well,14648.344762040924,13778.196495082222
Mangalore,Pulses,Drip Irrigation,12812.418804264462,12361.255889767928
Bijapur,Citrus,Sprinkler Irrigation,14315.806041499123,14539.913531355973
Raichur,Cumin,Drip Irrigation,10347.173309142738,10724.481865651427
Shimoga,Citrus,Canal Irrigation,8894.466283038912,9044.751661063256
Udupi,Guava,Sprinkler Irrigation,10270.030482685705,10262.824333580063
Dharwad,Onion,Sprinkler Irrigation,13412.853956212635,12878.29723518972
Bellary,Bajra,Drip Irrigation,7555.182637629052,7484.953906376214
Chitradurga,Bajra,Tube Well,10552.238407119408,10219.822920987055
Bangalore Urban,Fennel,Sprinkler Irrigation,5922.306322157758,5324.680600017939
Bangalore Rural,Cotton,Drip Irrigation,8707.160736238753,8720.53999043077
Mysore,Wheat,Drip Irrigation,10324.886925504925,10007.61009596493
Tumkur,Coriander,Drip Irrigation,13006.81020001245,12394.841359808492
Belgaum,Fenugreek,Tube Well,15513.859918500217,16108.368686158066
Gulbarga,Onion,Sprinkler Irrigation,12314.619379003692,13098.736032583529
Hubli,Mango,Tube Well,13709.565523085254,13537.471653753624
Mangalore,Chilli,Canal Irrigation,11139.65533174276,11496.050581042506
Bijapur,Garlic,Drip Irrigation,7879.9240187193955,8250.910619412252
Raichur,Mustard,Sprinkler Irrigation,7961.273257073144,7023.619586451517
Shimoga,Fennel,Sprinkler Irrigation,11917.248200955246,11696.380748741763
Udupi,Gram,Canal Irrigation,12867.18760691163,12496.186403700083
Dharwad,Cotton,Tube Well,7114.8269052854575,7868.924370527042
Bellary,Tomato,Canal Irrigation,7527.310611136752,7131.947208397775
Chitradurga,Guava,Drip Irrigation,10200.743281888015,11027.450974222134
Bangalore Urban,Chilli,Drip Irrigation,14638.506608605743,15448.418209851956
Bangalore Rural,Bajra,Canal Irrigation,13627.383745214727,14092.265878726615
Mysore,Sugarcane,Canal Irrigation,6660.721628092192,7404.319598969058
Tumkur,Fenugreek,Sprinkler Irrigation,8390.834977945087,7463.940051804904
Belgaum,Opium,Drip Irrigation,5800.331230536272,6665.005918577928
Gulbarga,Mustard,Canal Irrigation,11283.217833061306,10375.497373109887
Hubli,Fenugreek,Canal Irrigation,6585.009329568442,7101.996970905105
Mangalore,Mango,Sprinkler Irrigation,8261.508813837763,7814.807891173893
Bijapur,Tomato,Drip Irrigation,7299.124219629261,6614.1162492013445
Raichur,Wheat,Drip Irrigation,8811.686998813719,8512.323274661952
Shimoga,Cotton,Sprinkler Irrigation,14868.039335541484,15476.045012455754
Udupi,Maize,Sprinkler Irrigation,6395.942030126154,6622.467797158109
Dharwad,Garlic,Tube Well,6549.114928721748,5607.100301127031
Bellary,Gram,Tube Well,5332.452630456012,5185.384120876067
Chitradurga,Opium,Tube Well,12018.702822006033,11643.584124308098
Bangalore Urban,Opium,Drip Irrigation,13243.461740163486,13754.947611306055
Bangalore Rural,Cumin,Sprinkler Irrigation,5911.526944172414,6516.227940447497
Mysore,Gram,Tube Well,7454.83477981267,7743.671999739621
Tumkur,Onion,Sprinkler Irrigation,16143.440665335738,15430.88403289291
Belgaum,Cotton,Canal Irrigation,8929.086542001554,9328.31578416641
Gulbarga,Mango,Tube Well,11980.729545143184,11111.459942774924
Hubli,Guava,Tube Well,9607.273703457908,8948.876793062544
Mangalore,Coriander,Sprinkler Irrigation,8766.605505241958,8577.977469719748
Bijapur,Mango,Drip Irrigation,11665.672132028874,11731.163263885535
Raichur,Cumin,Tube Well,9154.015304161989,8641.397426260628
Shimoga,Onion,Tube Well,6491.731743996843,5908.208035622279
Udupi,Citrus,Tube Well,10496.03314727643,10180.43481654812
Dharwad,Oilseeds,Drip Irrigation,12856.79532254267,13280.61296568126
Bellary,Gram,Tube Well,9376.414689603527,8571.72250798685
Chitradurga,Oilseeds,Canal Irrigation,16234.68303496426,15373.89830462311
Bangalore Urban,Fenugreek,Tube Well,10242.599253257446,10532.577484153511
Bangalore Rural,Mustard,Sprinkler Irrigation,12872.892360428836,13647.415433577084
Mysore,Pulses,Sprinkler Irrigation,8740.542057141769,8323.548564150778
Tumkur,Cumin,Tube Well,7440.109287349125,7803.142863322418
Belgaum,Sugarcane,Canal Irrigation,14637.844167777475,15511.197134007498
Gulbarga,Mustard,Drip Irrigation,10394.764742722036,10415.612501435362
